Ref,Val,Package,PosX,PosY,Rot,Side
"C1","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",187.454466,-35.305534,180.000000,top
"C1","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",21.510000,-70.730000,0.000000,top
"C2","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",195.504466,-15.595534,0.000000,top
"C2","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",13.460000,-90.440000,180.000000,top
"C3","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",188.504466,-15.595534,0.000000,top
"C3","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",20.460000,-90.440000,180.000000,top
"C4","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",27.460000,-90.440000,180.000000,top
"C4","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",181.504466,-15.595534,0.000000,top
"C5","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",34.460000,-90.440000,180.000000,top
"C5","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",174.504466,-15.595534,0.000000,top
"C6","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",41.460000,-90.440000,180.000000,top
"C6","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",167.504466,-15.595534,0.000000,top
"C7","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",160.504466,-15.595534,0.000000,top
"C7","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",48.460000,-90.440000,180.000000,top
"C8","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",55.460000,-90.440000,180.000000,top
"C8","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",153.504466,-15.595534,0.000000,top
"C9","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",139.504466,-15.595534,0.000000,top
"C9","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",69.460000,-90.440000,180.000000,top
"C10","C,100n,16V,0402,10%,X5R,85C","C_0402_1005Metric",76.460000,-90.440000,180.000000,top
